gene_name,PageRank0h,PageRank16h,Ratio
PPFIA2,5.17E-05,5.27E-05,1.02
POLDIP3,0.000134187,0.000136901,1.02
PFDN5,0.000183944,0.000187659,1.02
MRRF,8.46E-05,8.63E-05,1.02
SEC61A1,0.000182637,0.000186315,1.02
C1D,7.85E-05,8.01E-05,1.02
DAD1,4.20E-05,4.28E-05,1.02
EIF2B1,0.000120739,0.000123153,1.02
ARMCX3,9.64E-05,9.83E-05,1.02
MCM4,0.000286221,0.000291921,1.02
ZBTB17,5.35E-05,5.46E-05,1.02
SMDT1,5.36E-05,5.46E-05,1.02
SREBF2,0.000125974,0.000128475,1.02
ZFP280D,1.41E-05,1.44E-05,1.02
EYA3,7.33E-05,7.47E-05,1.02
MED19,0.00013098,0.000133567,1.02
TMEM261,5.11E-05,5.21E-05,1.02
CHD4,0.001212878,0.001236763,1.02
ELP4,6.01E-05,6.13E-05,1.02
PFDN2,0.000218773,0.000223067,1.02
AARS2,6.56E-05,6.69E-05,1.02
GPSM1,4.75E-05,4.84E-05,1.02
AIMP2,0.000201646,0.000205597,1.02
GPANK1,3.73E-05,3.81E-05,1.02
FBXO46,4.89E-05,4.98E-05,1.02
TRIP12,0.000127033,0.000129514,1.02
ETV3,3.31E-05,3.38E-05,1.02
HDGF,0.000416777,0.000424918,1.02
ATP13A3,2.66E-05,2.72E-05,1.02
IPO11,0.000127018,0.000129493,1.02
CHD1L,0.000164057,0.000167254,1.02
PRPF3,0.000286516,0.000292098,1.02
NUDC,0.000318103,0.0003243,1.02
ACLY,0.000217805,0.000222038,1.02
HMG20B,7.08E-05,7.22E-05,1.02
TCF3,0.000478892,0.00048816,1.02
SMNDC1,9.69E-05,9.88E-05,1.02
PEAK1,4.94E-05,5.04E-05,1.02
CRAMP1L,4.96E-05,5.06E-05,1.02
TRMT6,0.000116707,0.000118961,1.02
GOLPH3,0.000101692,0.000103654,1.02
CCT6B,0.000204792,0.000208742,1.02
RALY,0.000206445,0.000210426,1.02
PPIP5K2,6.00E-05,6.11E-05,1.02
RMI1,4.81E-05,4.91E-05,1.02
TRMT61A,6.91E-05,7.04E-05,1.02
DDX41,0.000112479,0.000114632,1.02
BNIP1,0.000100801,0.00010273,1.02
ZMIZ2,5.79E-05,5.90E-05,1.02
CEP76,0.000285473,0.000290933,1.02
CLCC1,6.00E-05,6.12E-05,1.02
CMSS1,6.18E-05,6.30E-05,1.02
STAU1,0.000710238,0.000723781,1.02
BTBD1,9.04E-05,9.22E-05,1.02
ZBED6,1.25E-05,1.27E-05,1.02
SPAST,6.18E-05,6.30E-05,1.02
RMND5B,8.08E-05,8.24E-05,1.02
SERPINB9,9.96E-05,0.000101486,1.02
MRPS23,0.000144124,0.000146859,1.02
SART1,0.000278397,0.00028367,1.02
ISY1,0.000133864,0.000136396,1.02
EMC8,6.56E-05,6.68E-05,1.02
MPHOSPH6,8.46E-05,8.62E-05,1.02
ST13,0.000112679,0.000114801,1.02
CRY2,0.000325858,0.000331993,1.02
LARP7,0.001723587,0.001755912,1.02
POLE3,0.00012749,0.000129873,1.02
CAND1,0.001461879,0.001489192,1.02
ABTB2,2.94E-05,2.99E-05,1.02
HMGA1,0.000220651,0.00022476,1.02
FAM117A,1.17E-05,1.19E-05,1.02
CLCN3,4.09E-05,4.16E-05,1.02
TRIT1,2.67E-05,2.71E-05,1.02
TMEM62,2.22E-05,2.26E-05,1.02
LAMTOR5,0.000113812,0.000115918,1.02
CLPB,0.000110395,0.000112435,1.02
POLR3A,0.000180038,0.000183362,1.02
UBE2Q1,4.64E-05,4.73E-05,1.02
BICD2,7.02E-05,7.15E-05,1.02
GIGYF2,0.000192436,0.000195966,1.02
TRAP1,0.000294019,0.000299405,1.02
PSME3,0.000385248,0.000392297,1.02
MRPS11,0.00024576,0.000250251,1.02
PNPLA2,5.31E-05,5.41E-05,1.02
CCNDBP1,0.00011722,0.000119357,1.02
SSNA1,5.52E-05,5.63E-05,1.02
NEU1,4.73E-05,4.82E-05,1.02
TEFM,3.45E-05,3.51E-05,1.02
KDM4B,7.66E-05,7.80E-05,1.02
AP1AR,1.68E-05,1.71E-05,1.02
CLK4,5.42E-05,5.51E-05,1.02
ADAM10,6.20E-05,6.32E-05,1.02
PCGF6,0.000158731,0.000161571,1.02
FAM213B,2.66E-05,2.71E-05,1.02
TM9SF4,0.000132081,0.000134437,1.02
ANAPC10,7.68E-05,7.81E-05,1.02
SNRPD1,0.000314588,0.000320158,1.02
WDR12,0.000209773,0.000213473,1.02
GYPC,2.23E-05,2.27E-05,1.02
EIF2B2,0.000157916,0.000160695,1.02
EIF6,0.000346905,0.000353005,1.02
ENY2,6.65E-05,6.77E-05,1.02
NR2C2AP,3.33E-05,3.38E-05,1.02
TIMM44,0.000139218,0.000141661,1.02
PRMT1,0.000324615,0.000330307,1.02
IGF2BP3,0.00019451,0.000197919,1.02
KPNA3,0.000189456,0.000192765,1.02
POU2F1,0.000127238,0.00012946,1.02
HSP90B1,0.000400272,0.000407255,1.02
MCM7,0.000379194,0.000385794,1.02
SNX9,0.00012016,0.000122251,1.02
PAIP2,4.55E-05,4.63E-05,1.02
HBS1L,0.000105265,0.000107087,1.02
CNOT10,8.32E-05,8.46E-05,1.02
FAM98A,9.33E-05,9.49E-05,1.02
LRRC8D,2.65E-05,2.69E-05,1.02
MSANTD2,2.07E-05,2.11E-05,1.02
PFDN4,0.000156489,0.000159182,1.02
RBMX,0.000327639,0.000333276,1.02
USP19,0.000186191,0.00018939,1.02
PSMD8,0.000208476,0.000212058,1.02
SIRT7,0.001542119,0.001568562,1.02
ASAP2,6.18E-05,6.29E-05,1.02
CNN3,6.34E-05,6.45E-05,1.02
CRELD1,3.26E-05,3.31E-05,1.02
MRPS2,0.000136102,0.000138421,1.02
BBX,6.75E-05,6.87E-05,1.02
UBE2A,0.000442747,0.000450249,1.02
EXOSC2,0.000192218,0.000195471,1.02
ADSSL1,2.46E-05,2.50E-05,1.02
NDE1,0.00011517,0.000117113,1.02
RARS,0.000189937,0.00019314,1.02
CCDC174,3.71E-05,3.77E-05,1.02
TOR1AIP2,0.000171835,0.000174729,1.02
ARFRP1,2.44E-05,2.48E-05,1.02
GLRX3,0.000166878,0.000169683,1.02
RPUSD2,7.55E-05,7.68E-05,1.02
WEE1,0.000149574,0.000152082,1.02
CBX8,0.000261646,0.000266024,1.02
ALDH18A1,0.000119526,0.00012152,1.02
UBE2S,0.000177615,0.000180578,1.02
GLYR1,0.000161632,0.000164326,1.02
ERCC6L,5.60E-05,5.69E-05,1.02
SMARCAD1,0.000285063,0.000289805,1.02
NUDCD1,9.31E-05,9.47E-05,1.02
ATP2A2,0.000190298,0.00019346,1.02
UBTD2,2.56E-05,2.60E-05,1.02
ERGIC3,0.000160929,0.000163597,1.02
CLNS1A,0.000223057,0.000226752,1.02
PTPRO,0.000204578,0.000207966,1.02
APRT,0.000107895,0.000109681,1.02
UPF1,0.000378484,0.000384735,1.02
ATP6V1F,0.000132882,0.000135067,1.02
CHCHD6,6.10E-05,6.20E-05,1.02
AKIRIN2,4.74E-05,4.82E-05,1.02
CFAP97,8.25E-05,8.39E-05,1.02
KLHL6,3.24E-05,3.29E-05,1.02
PHF10,7.31E-05,7.43E-05,1.02
ILF3,0.000697211,0.000708611,1.02
POLK,9.32E-05,9.48E-05,1.02
PSMD1,0.000424379,0.000431293,1.02
ELAC2,0.000136381,0.000138599,1.02
COMTD1,0.000173526,0.000176347,1.02
ZFC3H1,0.000188142,0.000191197,1.02
SATB1,0.000102174,0.000103833,1.02
TRMT10A,4.46E-05,4.53E-05,1.02
IDE,0.000182738,0.000185697,1.02
TUBA1C,0.000470856,0.000478463,1.02
CD44,0.000228122,0.0002318,1.02
MEMO1,0.000106224,0.000107934,1.02
METTL18,0.000102756,0.000104411,1.02
WBP4,0.000129794,0.000131883,1.02
TTF1,6.26E-05,6.36E-05,1.02
PCNA,0.000599319,0.000608954,1.02
PPP2R1B,0.000210969,0.000214352,1.02
AMBRA1,0.000204574,0.000207851,1.02
SAR1B,5.67E-05,5.76E-05,1.02
GTF3C2,9.76E-05,9.92E-05,1.02
EXOSC10,0.00019387,0.000196959,1.02
PHIP,0.000134928,0.00013707,1.02
NCDN,0.000138163,0.000140356,1.02
STOML2,0.000186639,0.000189595,1.02
CNPY3,4.62E-05,4.70E-05,1.02
EMC1,0.000105431,0.000107095,1.02
SNX3,0.000177337,0.000180124,1.02
POLA2,0.000114671,0.000116473,1.02
NHP2L1,0.000388178,0.000394277,1.02
NFKB1,0.000425678,0.00043236,1.02
MGAT2,2.03E-05,2.07E-05,1.02
CKAP5,0.000251475,0.000255412,1.02
MCM3,0.000324569,0.00032964,1.02
TUBB5,7.80E-05,7.92E-05,1.02
MPP5,5.36E-05,5.45E-05,1.02
PELP1,0.00015561,0.000158028,1.02
CPPED1,2.13E-05,2.16E-05,1.02
POP4,6.04E-05,6.13E-05,1.02
TTC1,0.000203151,0.000206296,1.02
MBOAT7,6.74E-05,6.85E-05,1.02
PCGF2,0.000144148,0.000146378,1.02
AREL1,3.92E-05,3.98E-05,1.02
SKIV2L2,0.000247363,0.000251184,1.02
SGTA,0.000219799,0.000223193,1.02
PYCR1,8.59E-05,8.73E-05,1.02
TJAP1,5.73E-05,5.81E-05,1.02
TRNAU1AP,3.83E-05,3.89E-05,1.02
RNF2,0.001711224,0.001737513,1.02
FKBP8,0.000214903,0.000218203,1.02
FARSA,0.000171297,0.000173924,1.02
CHAMP1,0.000108238,0.000109895,1.02
MBD3,0.000180408,0.000183163,1.02
REST,0.000462251,0.000469305,1.02
AFAP1,6.49E-05,6.58E-05,1.02
ERP29,7.06E-05,7.17E-05,1.02
ABCC5,2.87E-05,2.91E-05,1.02
DAP3,0.000176339,0.000179021,1.02
HSPA14,7.59E-05,7.70E-05,1.02
ORC4,0.000102396,0.000103949,1.02
TIMM50,0.000213721,0.000216951,1.02
POLD3,9.31E-05,9.45E-05,1.02
AQR,0.000129732,0.000131688,1.02
TCEB1,0.000226544,0.000229959,1.02
PYHIN1,0.000560486,0.000568936,1.02
MAP3K8,6.01E-05,6.10E-05,1.02
KPNA6,0.000189111,0.000191948,1.01
EDEM1,7.41E-05,7.53E-05,1.01
ELP3,0.000130913,0.000132873,1.01
FAM195B,3.14E-05,3.18E-05,1.01
MTF2,0.000132466,0.000134445,1.01
SNRNP70,0.000451704,0.000458442,1.01
SMEK2,0.000107814,0.000109422,1.01
EDEM3,0.000157834,0.000160186,1.01
PAIP1,0.000102664,0.000104192,1.01
DENR,0.000129683,0.000131612,1.01
ERLIN2,0.000235849,0.000239353,1.01
OS9,0.000158143,0.000160491,1.01
JMJD6,0.000311962,0.000316576,1.01
DNAJC7,0.000259735,0.000263575,1.01
POLR3E,0.000146842,0.000149002,1.01
ANKRD40,6.40E-05,6.49E-05,1.01
RPS6KB2,0.000439128,0.000445555,1.01
NXN,5.66E-05,5.74E-05,1.01
POLA1,0.000143375,0.000145465,1.01
PPP1R10,8.48E-05,8.61E-05,1.01
MAN1A1,7.95E-05,8.06E-05,1.01
RBM27,0.000102506,0.000103996,1.01
OGFOD1,0.000134741,0.000136696,1.01
ASF1A,0.000168785,0.000171233,1.01
GBP7,5.72E-05,5.81E-05,1.01
EXOSC4,0.000270991,0.000274914,1.01
POLR2H,0.000165926,0.000168319,1.01
CDR2,0.000109779,0.000111362,1.01
MEPCE,0.00146594,0.001487041,1.01
HSPA5,0.000926874,0.000940206,1.01
PEX7,6.36E-05,6.45E-05,1.01
DDX5,0.000533377,0.000541041,1.01
PIP5K1C,5.68E-05,5.76E-05,1.01
NPM3,8.41E-05,8.53E-05,1.01
UXT,0.000110287,0.000111863,1.01
POLR2L,0.000138679,0.000140658,1.01
MAML2,3.18E-05,3.23E-05,1.01
WDR77,0.000565208,0.000573266,1.01
FAM50A,9.65E-05,9.78E-05,1.01
TDP2,8.44E-05,8.56E-05,1.01
TULP4,1.88E-05,1.91E-05,1.01
RPUSD4,5.45E-05,5.53E-05,1.01
AHCTF1,7.05E-05,7.15E-05,1.01
DNAJC11,0.000130392,0.000132239,1.01
MRPL12,0.000404883,0.000410602,1.01
POLR2E,0.000282864,0.000286847,1.01
CHAF1A,0.000460964,0.000467434,1.01
UBR5,0.00031465,0.000319061,1.01
RNF181,0.000153798,0.000155945,1.01
CHRAC1,0.000118677,0.000120331,1.01
TARS,0.000198126,0.000200884,1.01
ERAL1,7.49E-05,7.60E-05,1.01
CETN3,7.31E-05,7.41E-05,1.01
SDCBP,0.000319523,0.000323949,1.01
RNF10,7.31E-05,7.41E-05,1.01
REL,0.000422497,0.000428348,1.01
GMPS,0.00016559,0.000167883,1.01
TMEM177,8.04E-05,8.15E-05,1.01
ZNF746,0.000606024,0.000614391,1.01
EHMT1,9.42E-05,9.55E-05,1.01
MFN1,3.32E-05,3.36E-05,1.01
POLR2J,0.000121602,0.000123276,1.01
CCNH,0.000113137,0.000114692,1.01
CHMP7,3.78E-05,3.83E-05,1.01
ORC1,0.000108183,0.000109668,1.01
BLZF1,9.66E-05,9.79E-05,1.01
EMC3,7.47E-05,7.58E-05,1.01
MED10,0.000140759,0.000142687,1.01
TAF4B,3.99E-05,4.04E-05,1.01
FAM32A,3.13E-05,3.17E-05,1.01
BMI1,0.000891313,0.000903459,1.01
CHD3,0.00124507,0.001262026,1.01
BUD13,5.97E-05,6.06E-05,1.01
DAPK3,0.000107911,0.00010938,1.01
B3GALNT2,3.47E-05,3.51E-05,1.01
ZFP41,9.28E-05,9.41E-05,1.01
PKMYT1,3.62E-05,3.67E-05,1.01
PRMT5,0.000473099,0.000479434,1.01
GTF2F2,0.000114097,0.000115623,1.01
JAK2,0.000192287,0.000194856,1.01
DNAJB5,3.90E-05,3.95E-05,1.01
G3BP1,0.000957122,0.000969871,1.01
PFDN1,0.000223175,0.000226148,1.01
FXR2,0.00028551,0.000289306,1.01
URI1,0.000168387,0.000170626,1.01
ZBTB11,4.07E-05,4.13E-05,1.01
GEMIN8,5.06E-05,5.12E-05,1.01
SRA1,9.07E-05,9.19E-05,1.01
PPFIA1,0.000121391,0.000123,1.01
VARS,0.000189454,0.000191957,1.01
ZBTB1,0.000200011,0.000202652,1.01
SPHK2,2.61E-05,2.64E-05,1.01
PSMD13,0.000254013,0.000257362,1.01
CARM1,0.000339654,0.000344109,1.01
ORC2,0.000108632,0.000110046,1.01
IK,0.000191638,0.00019413,1.01
FARSB,0.000145954,0.000147852,1.01
PSMC2,0.000411142,0.000416484,1.01
ILF2,0.000650928,0.000659347,1.01
CHM,7.13E-05,7.22E-05,1.01
CHEK1,0.00028321,0.00028687,1.01
CBX2,0.0001041,0.000105445,1.01
SPAG9,0.000193052,0.000195545,1.01
ATF7,8.88E-05,8.99E-05,1.01
TFG,0.000248807,0.00025202,1.01
ALG11,2.86E-05,2.90E-05,1.01
LAMP2,0.000213739,0.000216498,1.01
MTA1,0.000223467,0.000226346,1.01
VHL,0.000643448,0.000651737,1.01
SMG5,4.61E-05,4.67E-05,1.01
TCF12,0.000120987,0.000122541,1.01
PIN4,8.47E-05,8.58E-05,1.01
ANKRD28,0.000193665,0.000196146,1.01
R3HDM2,2.81E-05,2.85E-05,1.01
TRIAP1,4.74E-05,4.81E-05,1.01
CUL4B,0.000898578,0.000910073,1.01
MRPS28,0.000162877,0.000164958,1.01
SNIP1,0.00018875,0.00019116,1.01
HAAO,2.04E-05,2.07E-05,1.01
SMN1,0.000423544,0.000428947,1.01
ATP6V1H,0.00013856,0.000140327,1.01
PRPF31,0.000296042,0.000299812,1.01
TANK,0.000113396,0.000114836,1.01
SPEN,0.000111293,0.000112706,1.01
PARP8,1.86E-05,1.89E-05,1.01
KATNA1,0.000136227,0.000137952,1.01
KLHL7,4.61E-05,4.67E-05,1.01
SLC12A9,2.90E-05,2.93E-05,1.01
AK7,2.27E-05,2.29E-05,1.01
PARP2,0.000109206,0.000110574,1.01
SEPSECS,4.28E-05,4.34E-05,1.01
DYNLL2,0.000139936,0.000141688,1.01
PSMC4,0.000337697,0.000341924,1.01
PRPF18,3.45E-05,3.50E-05,1.01
ASCC3,0.000136331,0.000138033,1.01
HARS,0.000143518,0.000145308,1.01
P4HB,0.000332837,0.000336987,1.01
STAP1,4.34E-05,4.39E-05,1.01
SLTM,8.17E-05,8.27E-05,1.01
AGPAT2,3.34E-05,3.38E-05,1.01
LRWD1,7.88E-05,7.98E-05,1.01
PPHLN1,0.000117761,0.000119203,1.01
GPRASP1,4.31E-05,4.36E-05,1.01
HSP90AA1,0.001437973,0.001455539,1.01
UBL4A,0.000651727,0.00065968,1.01
HDAC7,0.000178411,0.000180587,1.01
INTS7,0.00011435,0.000115745,1.01
OTUD1,3.90E-05,3.95E-05,1.01
EMC2,0.000261899,0.000265088,1.01
PEX6,5.28E-05,5.35E-05,1.01
PPP6R3,0.000172937,0.000175032,1.01
SCRIB,0.000116951,0.000118344,1.01
SNTA1,0.00010477,0.000106011,1.01
SNRPD3,0.000309105,0.000312759,1.01
PSMD4,0.000445008,0.000450267,1.01
SOAT1,0.000343628,0.000347689,1.01
RNF11,0.000243162,0.000246032,1.01
DNAJB2,8.43E-05,8.53E-05,1.01
BAG2,0.000225193,0.000227833,1.01
HNRNPA1,0.001106471,0.001119434,1.01
NAT9,3.53E-05,3.57E-05,1.01
EFTUD1,6.36E-05,6.43E-05,1.01
CCT8,0.000430653,0.000435694,1.01
INTS12,7.80E-05,7.89E-05,1.01
OAT,0.000132734,0.000134283,1.01
DDX31,0.000126177,0.000127649,1.01
HSPD1,0.000691524,0.000699574,1.01
DTYMK,5.13E-05,5.19E-05,1.01
NAP1L4,0.000164932,0.000166851,1.01
VBP1,0.00017873,0.000180808,1.01
PPP2R2A,0.000241091,0.000243887,1.01
EIF5,0.000158884,0.000160727,1.01
CNOT11,0.000103029,0.000104224,1.01
DICER1,0.000143416,0.000145078,1.01
MAPRE3,8.14E-05,8.24E-05,1.01
HNRNPR,0.000496191,0.00050191,1.01
CCBL2,5.19E-05,5.25E-05,1.01
MCTS1,0.000109122,0.000110372,1.01
SLC2A8,3.64E-05,3.68E-05,1.01
KIF15,7.31E-05,7.39E-05,1.01
SRSF6,0.000191689,0.000193868,1.01
CD40,0.000138201,0.000139771,1.01
PSMD2,0.000412801,0.000417483,1.01
ZNF48,2.60E-05,2.63E-05,1.01
CDK16,0.000170405,0.00017233,1.01
AARSD1,0.000192119,0.000194287,1.01
GLG1,5.58E-05,5.65E-05,1.01
RNF126,0.000194036,0.000196224,1.01
ATP6AP2,0.000243691,0.000246438,1.01
FOXP1,0.000115931,0.000117237,1.01
TNF,0.00051581,0.00052162,1.01
NEDD8,0.000548524,0.000554697,1.01
PSMF1,0.000109694,0.000110928,1.01
RNF34,6.10E-05,6.17E-05,1.01
APH1A,6.19E-05,6.26E-05,1.01
PSMD12,0.000328516,0.000332198,1.01
HAX1,0.000224743,0.000227259,1.01
PCBP3,0.000134681,0.000136188,1.01
WDR6,8.90E-05,8.99E-05,1.01
CUL5,0.000819741,0.000828888,1.01
MED9,0.00016937,0.000171256,1.01
CDC27,0.000225158,0.000227662,1.01
PUS1,0.000123217,0.000124585,1.01
TUBA1A,0.000552168,0.000558298,1.01
HNRNPDL,0.000303188,0.000306549,1.01
EXOSC1,0.000156285,0.000158011,1.01
BLMH,0.000106314,0.000107487,1.01
TUBA4A,0.000411074,0.000415607,1.01
COPS5,0.001484239,0.001500603,1.01
ITGB1,0.000216247,0.000218627,1.01
COA7,5.97E-05,6.04E-05,1.01
PHC3,7.42E-05,7.50E-05,1.01
TCP1,0.000468856,0.000473993,1.01
MAP1LC3B,0.000219218,0.000221617,1.01
CNOT2,0.000134847,0.000136322,1.01
GTF2E1,0.000208718,0.000210997,1.01
CUL1,0.001286338,0.001300368,1.01
KPTN,0.000111165,0.000112376,1.01
EI24,2.09E-05,2.11E-05,1.01
MTA2,0.000293556,0.000296746,1.01
SMG6,5.16E-05,5.22E-05,1.01
KPNA1,0.00028201,0.000285061,1.01
RFWD2,0.000177495,0.000179413,1.01
PTPN22,0.00011619,0.000117443,1.01
CCDC6,0.000136269,0.000137739,1.01
HIF1AN,0.000592089,0.000598473,1.01
ID1,8.52E-05,8.61E-05,1.01
GOSR1,9.16E-05,9.26E-05,1.01
PAN2,0.000712899,0.000720562,1.01
FAM104A,2.46E-05,2.49E-05,1.01
WIZ,0.000138637,0.000140124,1.01
KDM5C,0.000135725,0.000137173,1.01
SULT2B1,2.98E-05,3.01E-05,1.01
CLK3,0.000203229,0.000205392,1.01
ATP1A1,0.000349591,0.000353309,1.01
FAM126B,2.04E-05,2.07E-05,1.01
DNAJA1,0.000354581,0.000358344,1.01
ING2,0.000102237,0.000103322,1.01
CCT5,0.000442697,0.000447379,1.01
KLHDC3,0.000122968,0.000124268,1.01
PTPN2,0.000218047,0.000220352,1.01
TXNL1,0.000173305,0.000175135,1.01
LMAN2,9.42E-05,9.52E-05,1.01
CUL2,0.000803693,0.00081215,1.01
CLPP,7.03E-05,7.10E-05,1.01
MED12,0.000247857,0.000250457,1.01
UNC119B,4.11E-05,4.15E-05,1.01
XRCC6BP1,3.67E-05,3.71E-05,1.01
LPGAT1,4.62E-05,4.66E-05,1.01
BCOR,0.000263079,0.000265817,1.01
COL4A3BP,7.74E-05,7.82E-05,1.01
PRPF8,0.00109732,0.001108715,1.01
LRPPRC,0.000256602,0.000259262,1.01
ERGIC1,7.02E-05,7.09E-05,1.01
SMG9,4.57E-05,4.62E-05,1.01
PUS7L,4.06E-05,4.10E-05,1.01
TPD52L2,0.000200914,0.000202986,1.01
HSPA9,0.000538599,0.000544148,1.01
ERLEC1,7.08E-05,7.15E-05,1.01
SMG1,8.18E-05,8.26E-05,1.01
CCDC47,7.49E-05,7.56E-05,1.01
MED29,0.000129973,0.000131297,1.01
EHD4,0.00011181,0.000112949,1.01
CDK2,0.001385773,0.001399885,1.01
CSNK2A1,0.000920625,0.000929991,1.01
MED15,0.000188397,0.000190313,1.01
SRSF9,0.000185885,0.000187774,1.01
CUL4A,0.00059174,0.000597751,1.01
ZNF346,8.39E-05,8.47E-05,1.01
YIF1A,3.58E-05,3.62E-05,1.01
PPFIBP1,6.17E-05,6.23E-05,1.01
PSMD11,0.000325417,0.000328698,1.01
ADRM1,0.000175778,0.00017755,1.01
RHOT1,4.55E-05,4.60E-05,1.01
CCT3,0.000572667,0.000578436,1.01
XAB2,0.000142788,0.000144227,1.01
RELB,0.000166455,0.000168131,1.01
TFB1M,6.56E-05,6.62E-05,1.01
PDCL,7.38E-05,7.45E-05,1.01
TRIP4,0.00033308,0.000336425,1.01
DNMT1,0.000224094,0.000226345,1.01
NRROS,5.73E-05,5.79E-05,1.01
RBPJ,0.000265095,0.000267753,1.01
HBP1,0.000250927,0.000253436,1.01
GTF2F1,0.000195227,0.000197175,1.01
MED8,0.000149172,0.00015066,1.01
ANKIB1,2.79E-05,2.81E-05,1.01
ANAPC4,0.000101614,0.000102621,1.01
3110043O21RIK,9.63E-06,9.73E-06,1.01
PSMC1,0.000374581,0.000378276,1.01
WDR92,0.000171454,0.000173144,1.01
MRPL38,0.000204952,0.000206968,1.01
PSMC6,0.000299176,0.00030212,1.01
HCCS,0.000151476,0.000152965,1.01
PPIF,0.000109886,0.000110965,1.01
DNAJA2,0.000232054,0.000234322,1.01
UNC45A,0.000166671,0.000168294,1.01
WDR55,7.63E-05,7.70E-05,1.01
TNKS2,5.95E-05,6.01E-05,1.01
MALT1,0.000102953,0.000103954,1.01
NRP1,8.87E-05,8.96E-05,1.01
ATPAF2,6.30E-05,6.36E-05,1.01
CSNK1E,0.000279476,0.000282187,1.01
RANBP9,0.000253797,0.000256257,1.01
RIF1,0.000121357,0.000122533,1.01
FABP5,0.000121083,0.000122253,1.01
MRPL53,0.000149667,0.000151111,1.01
SUGP2,7.36E-05,7.43E-05,1.01
ANAPC7,0.0001291,0.000130342,1.01
ASNA1,0.000147853,0.000149274,1.01
CCT7,0.000491087,0.000495804,1.01
COPS7A,0.00018351,0.000185271,1.01
EIF4E2,0.000197803,0.000199701,1.01
HEXIM1,0.001649283,0.001665096,1.01
TPRN,5.04E-05,5.09E-05,1.01
TFAM,0.000105931,0.000106945,1.01
SNRPD2,0.000305992,0.00030892,1.01
SEL1L,0.000117311,0.000118433,1.01
IPO8,0.000101615,0.000102585,1.01
CWC22,9.33E-05,9.42E-05,1.01
WDR61,0.000308971,0.000311897,1.01
LEO1,0.000467836,0.00047226,1.01
POLR3G,5.16E-05,5.21E-05,1.01
MB21D1,0.000492275,0.000496895,1.01
ARMC8,0.000342164,0.000345374,1.01
UBE2G1,6.90E-05,6.96E-05,1.01
PEX14,0.000183886,0.000185607,1.01
WDR18,0.000138756,0.000140053,1.01
SUMF2,3.72E-05,3.76E-05,1.01
RFC4,0.000206999,0.000208931,1.01
TTF2,0.00011774,0.000118839,1.01
DYM,3.39E-05,3.42E-05,1.01
RICTOR,0.000252075,0.000254411,1.01
LIG3,0.000156507,0.000157954,1.01
TUT1,6.97E-05,7.03E-05,1.01
MED17,0.000191663,0.000193429,1.01
PELI1,7.81E-05,7.88E-05,1.01
HIST1H4A,0.000465628,0.000469905,1.01
NCSTN,0.000295631,0.000298345,1.01
PVR,0.000127,0.000128166,1.01
PSMC3,0.000424917,0.000428816,1.01
PSPH,6.64E-05,6.70E-05,1.01
TM9SF2,4.51E-05,4.55E-05,1.01
AKAP8,0.000127542,0.000128701,1.01
DNA2,9.41E-05,9.50E-05,1.01
MCU,9.00E-05,9.08E-05,1.01
RAB18,0.000103897,0.000104835,1.01
ARMC1,8.88E-05,8.96E-05,1.01
MRPL37,0.000209336,0.000211218,1.01
POGLUT1,7.56E-05,7.62E-05,1.01
DARS,0.000251807,0.000254065,1.01
ERCC2,8.99E-05,9.07E-05,1.01
COX15,0.000419602,0.000423331,1.01
MARK1,4.49E-05,4.53E-05,1.01
TIMM9,9.38E-05,9.47E-05,1.01
PSMD3,0.000335713,0.000338681,1.01
KCTD10,0.000158602,0.000160002,1.01
MAZ,3.84E-05,3.88E-05,1.01
TMEM263,4.10E-05,4.14E-05,1.01
FZR1,0.000228149,0.000230141,1.01
KIAA2013,9.14E-05,9.22E-05,1.01
TXNL4B,5.06E-05,5.10E-05,1.01
TFAP4,0.000242335,0.00024444,1.01
LIN37,5.32E-05,5.37E-05,1.01
GPR183,9.88E-05,9.96E-05,1.01
SIRT4,2.32E-05,2.34E-05,1.01
PTPRCAP,3.47E-05,3.50E-05,1.01
ADCK1,7.36E-05,7.43E-05,1.01
RC3H2,6.74E-05,6.80E-05,1.01
FBXL15,4.22E-05,4.26E-05,1.01
SMARCA5,0.00028255,0.000284982,1.01
CYLD,0.001149608,0.001159498,1.01
HABP4,0.000230049,0.000232027,1.01
INO80C,7.61E-05,7.67E-05,1.01
FDX1,3.00E-05,3.02E-05,1.01
POLDIP2,0.000174226,0.000175706,1.01
ZBTB39,2.94E-05,2.96E-05,1.01
MLLT3,0.000127565,0.000128646,1.01
FAM136A,0.00014054,0.00014173,1.01
EFTUD2,0.002882521,0.002906862,1.01
ATR,0.000208823,0.000210581,1.01
SRRM2,0.000563529,0.000568251,1.01
SCAF11,9.44E-05,9.52E-05,1.01
TUBB3,0.000362115,0.000365133,1.01
GTF2H4,0.000130627,0.000131714,1.01
POLR3F,9.67E-05,9.75E-05,1.01
SYNCRIP,0.000699722,0.000705531,1.01
CACNA1B,2.46E-05,2.49E-05,1.01
OLA1,0.000153462,0.000154734,1.01
TCEB2,0.000215261,0.000217044,1.01
PSMA7,0.000287466,0.000289845,1.01
CEPT1,8.00E-05,8.06E-05,1.01
RNF115,8.62E-05,8.69E-05,1.01
ZHX1,0.000115358,0.000116307,1.01
RPN2,0.000249272,0.000251321,1.01
