namespace,name,def
biological_process,regulation of transcription involved in cell fate commitment,"""Any process that modulates the frequency, rate or extent of transcription from an RNA polymerase II promoter that contributes to the commitment of a cell to a specific fate."" [GOC:dph, GOC:sdb_2009, GOC:tb]"
biological_process,regulation of estradiol secretion,"""Any process that modulates the frequency, rate or extent of estradiol secretion."" [GOC:sl]"
molecular_function,ion channel binding,"""Interacting selectively and non-covalently with one or more specific sites on an ion channel, a protein complex that spans a membrane and forms a water-filled channel across the phospholipid bilayer allowing selective ion transport down its electrochemical gradient."" [GOC:BHF, GOC:jl]"
molecular_function,iron ion binding,"""Interacting selectively and non-covalently with iron (Fe) ions."" [GOC:ai]"
biological_process,positive regulation of stem cell proliferation,"""Any process that activates or increases the frequency, rate or extent of stem cell proliferation."" [GOC:dph]"
biological_process,negative regulation of tyrosine phosphorylation of STAT protein,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the introduction of a phosphate group to a tyrosine residue of a STAT (Signal Transducer and Activator of Transcription) protein."" [GOC:jl, PMID:11426647]"
molecular_function,syntaxin-1 binding,"""Interacting selectively and non-covalently with the SNAP receptor syntaxin-1."" [GOC:ai]"
biological_process,detection of temperature stimulus involved in sensory perception of pain,"""The series of events involved in the perception of pain in which a temperature stimulus is received and converted into a molecular signal."" [GOC:ai, GOC:dos]"
biological_process,immunoglobulin mediated immune response,"""An immune response mediated by immunoglobulins, whether cell-bound or in solution."" [GO_REF:0000022, GOC:add, GOC:mtg_15nov05, ISBN:0781735149]"
biological_process,positive regulation of thyroid-stimulating hormone secretion,"""Any process that activates or increases the frequency, rate or extent of thyroid-stimulating hormone secretion."" [GOC:obol]"
biological_process,peptidyl-lysine desuccinylation,"""The removal of a succinyl group (CO-CH2-CH2-CO) from a succinylated lysine residue in a peptide or protein."" [CHEBI:37952, GOC:sp, PMID:22076378]"
molecular_function,histone methyltransferase activity (H3-K36 specific),"""Catalysis of the reaction: S-adenosyl-L-methionine + histone H3 L-lysine (position 36) = S-adenosyl-L-homocysteine + histone H3 N6-methyl-L-lysine (position 36). This reaction is the addition of a methyl group onto lysine at position 36 of the histone H3 protein."" [GOC:ai]"
biological_process,negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,"""Any process that stops, prevents or reduces the frequency, rate or extent of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator."" [GOC:TermGenie, PMID:17719541]"
biological_process,mitotic cell cycle,"""Progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of the genome and the subsequent segregation of chromosomes into daughter cells. In some variant cell cycles nuclear replication or nuclear division may not be followed by cell division, or G1 and G2 phases may be absent."" [GOC:mah, ISBN:0815316194, Reactome:69278]"
biological_process,brain development,"""The process whose specific outcome is the progression of the brain over time, from its formation to the mature structure. Brain development begins with patterning events in the neural tube and ends with the mature structure that is the center of thought and emotion. The brain is responsible for the coordination and control of bodily activities and the interpretation of information from the senses (sight, hearing, smell, etc.)."" [GOC:dph, GOC:jid, GOC:tb, UBERON:0000955]"
biological_process,positive regulation of sphingomyelin catabolic process,"""Any process that activates or increases the frequency, rate or extent of sphingomyelin catabolic process."" [GOC:BHF]"
cellular_component,cortical cytoskeleton,"""The portion of the cytoskeleton that lies just beneath the plasma membrane."" [GOC:mah]"
biological_process,cardiac septum development,"""The progression of a cardiac septum over time, from its initial formation to the mature structure."" [GOC:mtg_heart]"
biological_process,uterus morphogenesis,"""The process in which anatomical structures of the uterus are generated and organized."" [GOC:BHF, GOC:dph]"
biological_process,transcription-coupled nucleotide-excision repair,"""The nucleotide-excision repair process that carries out preferential repair of DNA lesions on the actively transcribed strand of the DNA duplex. In addition, the transcription-coupled nucleotide-excision repair pathway is required for the recognition and repair of a small subset of lesions that are not recognized by the global genome nucleotide excision repair pathway."" [PMID:10197977, PMID:11900249]"
biological_process,negative regulation of chemokine-mediated signaling pathway,"""Any process that decreases the rate, frequency or extent of the series of molecular events generated as a consequence of a chemokine binding to a cell surface receptor."" [GOC:mah]"
biological_process,protein citrullination,"""The hydrolysis of peptidyl-arginine to form peptidyl-citrulline."" [PMID:23175390, RESID:AA0214]"
biological_process,positive regulation of transcription elongation from RNA polymerase II promoter,"""Any process that activates or increases the frequency, rate or extent of transcription elongation, the extension of an RNA molecule after transcription initiation and promoter clearance by the addition of ribonucleotides, catalyzed by RNA polymerase II."" [GOC:mah, GOC:txnOH]"
biological_process,DNA replication initiation,"""The process in which DNA-dependent DNA replication is started; this begins with the ATP dependent loading of an initiator complex onto the DNA, this is followed by DNA melting and helicase activity. In bacteria, the gene products that enable the helicase activity are loaded after the initial melting and in archaea and eukaryotes, the gene products that enable the helicase activity are inactive when they are loaded and subsequently activate."" [ISBN:071673706X, ISBN:0815316194, PMID:28209641]"
biological_process,positive regulation of bone mineralization involved in bone maturation,"""Any process that activates or increases the frequency, rate or extent of bone mineralization involved in bone maturation."" [GOC:BHF, GOC:TermGenie]"
biological_process,regulation of primitive erythrocyte differentiation,"""Any process that modulates the rate, frequency, or extent of primitive erythrocyte differentiation. Primitive erythrocyte differentiation occurs as part of the process of primitive hemopoiesis."" [GOC:add, GOC:dph, GOC:tb]"
molecular_function,histone deacetylase regulator activity,"""Modulates the activity of histone deacetylase."" [GOC:bf]"
biological_process,positive regulation of double-strand break repair via homologous recombination,"""Any process that activates or increases the frequency, rate or extent of double-strand break repair via homologous recombination."" [GO_REF:0000058, GOC:TermGenie, PMID:12023299]"
biological_process,cellular response to electrical stimulus,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an electrical stimulus."" [GOC:mah]"
biological_process,macrophage cytokine production,"""The appearance of a macrophage cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels."" [GOC:BHF, GOC:dph, GOC:rl, GOC:tb]"
cellular_component,transcription factor TFIID complex,"""A complex composed of TATA binding protein (TBP) and TBP associated factors (TAFs); the total mass is typically about 800 kDa. Most of the TAFs are conserved across species. In TATA-containing promoters for RNA polymerase II (Pol II), TFIID is believed to recognize at least two distinct elements, the TATA element and a downstream promoter element. TFIID is also involved in recognition of TATA-less Pol II promoters. Binding of TFIID to DNA is necessary but not sufficient for transcription initiation from most RNA polymerase II promoters."" [GOC:krc, GOC:mah, ISBN:0471953393, ISBN:0879695501]"
cellular_component,cytoplasmic vesicle,"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]"
cellular_component,"condensed nuclear chromosome, centromeric region","""The region of a condensed nuclear chromosome that includes the centromere and associated proteins, including the kinetochore. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."" [GOC:elh, GOC:kmv]"
biological_process,formaldehyde biosynthetic process,"""The chemical reactions and pathways resulting in the formation of formaldehyde (methanal, H2C=O), the simplest aldehyde."" [GOC:ai]"
biological_process,positive regulation of glycoprotein biosynthetic process,"""Any process that increases the rate, frequency, or extent of the chemical reactions and pathways resulting in the formation of glycoproteins, any protein that contains covalently bound glycose (i.e. monosaccharide) residues; the glycose occurs most commonly as oligosaccharide or fairly small polysaccharide but occasionally as monosaccharide."" [GOC:dph, GOC:tb]"
molecular_function,beta-tubulin binding,"""Interacting selectively and non-covalently with the microtubule constituent protein beta-tubulin."" [GOC:krc]"
biological_process,positive regulation of histone H3-K9 acetylation,"""Any process that activates or increases the frequency, rate or extent of histone H3-K9 acetylation."" [GOC:BHF]"
biological_process,histone H2B acetylation,"""The modification of histone H2B by the addition of an acetyl group."" [GOC:jl]"
biological_process,chromatin organization,"""Any process that results in the specification, formation or maintenance of the physical structure of eukaryotic chromatin."" [GOC:mah, GOC:vw, PMID:20404130]"
molecular_function,siRNA binding,"""Interacting selectively and non-covalently with a small interfering RNA, a 21-23 nucleotide RNA that is processed from double stranded RNA (dsRNA) by an RNAse enzyme."" [PMID:15066275, PMID:15066283]"
biological_process,negative regulation of TORC1 signaling,"""Any process that stops, prevents or reduces the frequency, rate or extent of TORC1 signaling."" [GO_REF:0000058, GOC:TermGenie, PMID:25366275]"
biological_process,intracellular signal transduction,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]"
molecular_function,signaling receptor activity,"""Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response."" [GOC:bf, GOC:signaling]"
biological_process,cellular response to thyroid hormone stimulus,"""A change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a thyroid hormone stimulus."" [GOC:sjw, PMID:9916872]"
biological_process,retina development in camera-type eye,"""The process whose specific outcome is the progression of the retina over time, from its formation to the mature structure. The retina is the innermost layer or coating at the back of the eyeball, which is sensitive to light and in which the optic nerve terminates."" [GOC:bf, GOC:dph, ISBN:0815340729]"
biological_process,DNA demethylation of male pronucleus,"""The active DNA demethylation of the paternal genome that takes place before the first cell division."" [GOC:sp, PMID:22868271]"
biological_process,formation of primary germ layer,"""The formation of the ectoderm, mesoderm and endoderm during gastrulation."" [GOC:go_curators]"
cellular_component,npBAF complex,"""A SWI/SNF-type complex that is found in neural stem or progenitor cells, and in human contains actin and proteins encoded by the ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, PHF10/BAF45A, ACTL6A/BAF53A genes. The npBAF complex is essential for the self-renewal/proliferative capacity of the multipotent neural stem cells."" [GOC:mah, GOC:ss, PMID:17640523]"
biological_process,response to cisplatin,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cisplatin stimulus."" [CHEBI:27899, GOC:mah]"
biological_process,thymus development,"""The process whose specific outcome is the progression of the thymus over time, from its formation to the mature structure. The thymus is a symmetric bi-lobed organ involved primarily in the differentiation of immature to mature T cells, with unique vascular, nervous, epithelial, and lymphoid cell components."" [GOC:add, ISBN:0781735149]"
biological_process,release from viral latency,"""The process by which a virus begins to replicate following a latency replication decision (switch)."" [GOC:dos, GOC:jl]"
biological_process,histone lysine demethylation,"""The modification of a histone by the removal of a methyl group from a lysine residue."" [GOC:mah]"
molecular_function,primary miRNA binding,"""Interacting selectively and non-covalently with a primary microRNA (pri-miRNA) transcript, an RNA molecule that is processed into a short hairpin-shaped structure called a pre-miRNA and finally into a functional miRNA. Both double-stranded and single-stranded regions of a pri-miRNA are required for binding."" [GOC:sl, PMID:15531877, PMID:15574589]"
cellular_component,cell leading edge,"""The area of a motile cell closest to the direction of movement."" [GOC:pg]"
biological_process,protein stabilization,"""Any process involved in maintaining the structure and integrity of a protein and preventing it from degradation or aggregation."" [GOC:ai]"
cellular_component,histone methyltransferase complex,"""A multimeric complex that is able to catalyze the addition of methyl groups to histone proteins."" [GOC:bf]"
biological_process,glial cell fate determination,"""The cell fate determination process in which a cell becomes capable of differentiating autonomously into a glial cell regardless of its environment; upon determination, the cell fate cannot be reversed."" [GOC:go_curators, GOC:mtg_sensu]"
biological_process,negative regulation of interferon-beta biosynthetic process,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of interferon-beta."" [GOC:go_curators]"
biological_process,multicellular organism development,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]"
cellular_component,DNA replication factor A complex,"""A conserved heterotrimeric complex that binds nonspecifically to single-stranded DNA and is required for multiple processes in eukaryotic DNA metabolism, including DNA replication, DNA repair, and recombination. In all eukaryotic organisms examined the complex is composed of subunits of approximately 70, 30, and 14 kDa."" [PMID:9242902]"
biological_process,cellular response to amyloid-beta,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a amyloid-beta stimulus."" [GO_REF:0000071, GOC:TermGenie, PMID:23555824]"
biological_process,arginine deiminase pathway,"""The chemical reactions and pathways resulting in the breakdown of arginine into other compounds, including ornithine and CO2, using the enzyme arginine deiminase."" [GOC:mah, MetaCyc:ARGDEGRAD-PWY]"
biological_process,positive regulation of neuron death,"""Any process that activates or increases the frequency, rate or extent of neuron death."" [GOC:rph, GOC:TermGenie]"
biological_process,ossification,"""The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance."" [GOC:mtg_mpo, PMID:17572649]"
molecular_function,ubiquitin binding,"""Interacting selectively and non-covalently with ubiquitin, a protein that when covalently bound to other cellular proteins marks them for proteolytic degradation."" [GOC:ecd]"
biological_process,positive regulation of type B pancreatic cell apoptotic process,"""Any process that activates or increases the frequency, rate or extent of type B pancreatic cell apoptotic process."" [GOC:mtg_apoptosis, GOC:obol]"
biological_process,circadian rhythm,"""Any biological process in an organism that recurs with a regularity of approximately 24 hours."" [GOC:bf, GOC:go_curators]"
biological_process,positive regulation of cell migration,"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]"
biological_process,inflammatory response,"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, GOC:mtg_15nov05, ISBN:0198506732]"
cellular_component,paranodal junction,"""A highly specialized cell-cell junction found in vertebrates, which forms between a neuron and a glial cell, and has structural similarity to Drosophila septate junctions. It flanks the node of Ranvier in myelinated nerve and electrically isolates the myelinated from unmyelinated nerve segments and physically separates the voltage-gated sodium channels at the node from the cluster of potassium channels underneath the myelin sheath."" [PMID:11395001, PMID:14630217]"
molecular_function,Krueppel-associated box domain binding,"""Interacting selectively and non-covalently with a Krueppel-associated box (KRAB) domain of a protein. The approximately 75 amino acid KRAB domain is enriched in charged amino acids, and is found in the N-terminal regions of many zinc finger-containing transcription factors."" [InterPro:IPR001909]"
molecular_function,E-box binding,"""Interacting selectively and non-covalently with an E-box, a DNA motif with the consensus sequence CANNTG that is found in the promoters of a wide array of genes expressed in neurons, muscle and other tissues."" [GOC:BHF, GOC:vk, PMID:11812799]"
molecular_function,histone methyltransferase activity (H3-K9 specific),"""Catalysis of the reaction: S-adenosyl-L-methionine + histone H3 L-lysine (position 9) = S-adenosyl-L-homocysteine + histone H3 N6-methyl-L-lysine (position 9). This reaction is the addition of a methyl group onto lysine at position 9 of the histone H3 protein."" [GOC:ai]"
biological_process,regulation of tubulin deacetylation,"""Any process that modulates the frequency, rate or extent of tubulin deacetylation. Tubulin deacetylation is the removal of an acetyl group from a protein amino acid."" [GOC:BHF, GOC:dph, GOC:tb]"
biological_process,positive regulation of GTPase activity,"""Any process that activates or increases the activity of a GTPase."" [GOC:jl, GOC:mah]"
biological_process,positive regulation of protein polyubiquitination,"""Any process that activates or increases the frequency, rate or extent of protein polyubiquitination."" [GO_REF:0000058, GOC:di, GOC:TermGenie, PMID:23645667]"
biological_process,stem cell differentiation,"""The process in which a relatively unspecialized cell acquires specialized features of a stem cell. A stem cell is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."" [CL:0000034, GOC:isa_complete]"
biological_process,negative regulation of mRNA polyadenylation,"""Any process that stops, prevents or reduces the frequency, rate or extent of mRNA polyadenylation."" [GOC:se, GOC:TermGenie, PMID:15121841]"
biological_process,protein K11-linked ubiquitination,"""A protein ubiquitination process in which ubiquitin monomers are attached to a protein, and then ubiquitin polymers are formed by linkages between lysine residues at position 11 of the ubiquitin monomers. K11-linked polyubiquitination targets the substrate protein for degradation. The anaphase-promoting complex promotes the degradation of mitotic regulators by assembling K11-linked polyubiquitin chains."" [GOC:jsg, GOC:pr, GOC:sp, PMID:18485873, PMID:20655260, PMID:21113135]"
biological_process,granulocyte differentiation,"""The process in which a myeloid precursor cell acquires the specialized features of a granulocyte. Granulocytes are a class of leukocytes characterized by the presence of granules in their cytoplasm. These cells are active in allergic immune reactions such as arthritic inflammation and rashes. This class includes basophils, eosinophils and neutrophils."" [GOC:ecd, http://life.nthu.edu.tw/~g864204/dict-search1.htm]"
biological_process,negative regulation of filopodium assembly,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the assembly of a filopodium, a thin, stiff protrusion extended by the leading edge of a motile cell such as a crawling fibroblast or amoeba, or an axonal growth cone."" [GOC:ai]"
biological_process,positive regulation of response to DNA damage stimulus,"""Any process that activates or increases the frequency, rate or extent of response to DNA damage stimulus."" [GOC:obol]"
biological_process,regulation of RNA splicing,"""Any process that modulates the frequency, rate or extent of RNA splicing, the process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA."" [GOC:jl]"
biological_process,regulation of cellular protein localization,"""Any process that modulates the frequency, rate or extent of cellular protein localization. Cellular protein localization is any process in which a protein is transported to, and/or maintained in, a specific location and encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."" [GO_REF:0000058, GOC:TermGenie, GOC:vw]"
biological_process,positive regulation of signal transduction by p53 class mediator,"""Any process that activates or increases the frequency, rate or extent of signal transduction by p53 class mediator."" [GOC:TermGenie]"
cellular_component,nucleolus,"""A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome."" [ISBN:0198506732]"
molecular_function,nucleosomal histone binding,"""Interacting selectively and non-covalently with a histone that is assembled into a nucleosome."" [GOC:mah]"
molecular_function,H4 histone acetyltransferase activity,"""Catalysis of the reaction: acetyl-CoA + histone H4 = CoA + acetyl-histone H4."" [EC:2.3.1.48]"
biological_process,sebum secreting cell proliferation,"""The multiplication or reproduction of sebocytes by cell division, resulting in the expansion of their population. A sebocyte is an epithelial cell that makes up the sebaceous glands, and secrete sebum."" [GOC:hjd, PMID:16901790, PMID:18474083]"
molecular_function,isomerase activity,"""Catalysis of the geometric or structural changes within one molecule. Isomerase is the systematic name for any enzyme of EC class 5."" [ISBN:0198506732]"
molecular_function,ubiquitin conjugating enzyme binding,"""Interacting selectively and non-covalently with a ubiquitin conjugating enzyme, any of the E2 proteins."" [GOC:vp]"
biological_process,neuroepithelial cell differentiation,"""The process in which epiblast cells acquire specialized features of neuroepithelial cells."" [GOC:dph, GOC:tb]"
biological_process,base-excision repair,"""In base excision repair, an altered base is removed by a DNA glycosylase enzyme, followed by excision of the resulting sugar phosphate. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase."" [ISBN:0815316194]"
molecular_function,protein kinase C binding,"""Interacting selectively and non-covalently with protein kinase C."" [GOC:jl]"
molecular_function,14-3-3 protein binding,"""Interacting selectively and non-covalently with a 14-3-3 protein. A 14-3-3 protein is any of a large family of approximately 30kDa acidic proteins which exist primarily as homo- and heterodimers within all eukaryotic cells, and have been implicated in the modulation of distinct biological processes by binding to specific phosphorylated sites on diverse target proteins, thereby forcing conformational changes or influencing interactions between their targets and other molecules. Each 14-3-3 protein sequence can be roughly divided into three sections: a divergent amino terminus, the conserved core region and a divergent carboxy-terminus. The conserved middle core region of the 14-3-3s encodes an amphipathic groove that forms the main functional domain, a cradle for interacting with client proteins."" [GOC:cna, GOC:mah, InterPro:IPR000308, PMID:15167810, PMID:19575580, PR:000003237]"
biological_process,nucleosome positioning,"""Ordering of successions of nucleosomes into regular arrays so that nucleosomes are positioned at defined distances from one another."" [GOC:bf, PMID:11447119, PMID:8676389]"
biological_process,regulation of protein localization to chromatin,"""Any process that modulates the frequency, rate or extent of protein localization to chromatin."" [GO_REF:0000058, GOC:TermGenie, PMID:20889714]"
biological_process,embryonic hemopoiesis,"""The stages of blood cell formation that take place within the embryo."" [GOC:bf]"
biological_process,trophoblast giant cell differentiation,"""The process in which a relatively unspecialized cell acquires specialized features of a trophoblast giant cell of the placenta. Trophoblast giant cells are the cell of the placenta that line the maternal decidua."" [GOC:dph, PMID:16269175]"
biological_process,cell motility,"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]"
biological_process,cellular protein-containing complex assembly,"""The aggregation, arrangement and bonding together of a set of components to form a protein complex, occurring at the level of an individual cell."" [GOC:jl]"
biological_process,negative regulation of myotube differentiation,"""Any process that decreases the frequency, rate or extent of myotube differentiation. Myotube differentiation is the process in which a relatively unspecialized cell acquires specialized features of a myotube cell. Myotubes are multinucleated cells that are formed when proliferating myoblasts exit the cell cycle, differentiate and fuse."" [GOC:dph, GOC:tb]"
biological_process,camera-type eye morphogenesis,"""The process in which the anatomical structures of the eye are generated and organized. The camera-type eye is an organ of sight that receives light through an aperture and focuses it through a lens, projecting it on a photoreceptor field."" [GOC:jid, GOC:mtg_sensu]"
cellular_component,nucleotide-activated protein kinase complex,"""A protein complex that possesses nucleotide-dependent protein kinase activity. The nucleotide can be AMP (in S. pombe and human) or ADP (in S. cerevisiae)."" [GOC:bhm, GOC:mah, GOC:vw]"
biological_process,peptidyl-lysine methylation,"""The methylation of peptidyl-lysine to form either the mono-, di- or trimethylated derivative."" [GOC:ai]"
biological_process,Hsp90 deacetylation,"""The modification of an Hsp90 protein by removal of acetyl groups."" [GOC:BHF, GOC:mah]"
biological_process,protein O-linked glycosylation,"""A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of peptidyl-serine, peptidyl-threonine, peptidyl-hydroxylysine, or peptidyl-hydroxyproline, or via the phenol group of peptidyl-tyrosine, forming an O-glycan."" [GOC:pr, ISBN:0879695595, RESID:AA0153, RESID:AA0154, RESID:AA0155, RESID:AA0157, RESID:AA0212]"
biological_process,genitalia development,"""The process whose specific outcome is the progression of the genitalia over time, from its formation to the mature structure."" [GOC:jid]"
biological_process,neuron cellular homeostasis,"""The cellular homeostatic process that preserves a neuron in a stable, differentiated functional and structural state."" [GOC:BHF, GOC:mah]"
biological_process,negative regulation of protein phosphorylation,"""Any process that stops, prevents or reduces the rate of addition of phosphate groups to amino acids within a protein."" [GOC:hjd]"
biological_process,dendrite development,"""The process whose specific outcome is the progression of the dendrite over time, from its formation to the mature structure."" [GOC:aruk, GOC:bc, GOC:jl, ISBN:0198506732, PMID:22683681]"
biological_process,regulation of myelination,"""Any process that modulates the frequency, rate or extent of the formation of a myelin sheath around nerve axons."" [GOC:mah]"
biological_process,positive regulation of proteolysis,"""Any process that activates or increases the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein."" [GOC:go_curators]"
cellular_component,Schmidt-Lanterman incisure,"""Regions within compact myelin in which the cytoplasmic faces of the enveloping myelin sheath are not tightly juxtaposed, and include cytoplasm from the cell responsible for making the myelin. Schmidt-Lanterman incisures occur in the compact myelin internode, while lateral loops are analogous structures found in the paranodal region adjacent to the nodes of Ranvier."" [GOC:dgh]"
biological_process,positive regulation of mitotic nuclear division,"""Any process that activates or increases the frequency, rate or extent of mitosis."" [GOC:go_curators]"
biological_process,activation of MAPKK activity,"""The initiation of the activity of the inactive enzyme MAP kinase kinase (MAPKK)."" [PMID:9561267]"
biological_process,epithelial tube branching involved in lung morphogenesis,"""The process in which a highly ordered sequence of patterning events generates the branched epithelial tubes of the lung, consisting of reiterated combinations of bud outgrowth, elongation, and dichotomous subdivision of terminal units."" [GOC:dph, GOC:mtg_lung]"
biological_process,histone H3 deacetylation,"""The modification of histone H3 by the removal of one or more acetyl groups."" [GOC:BHF, GOC:rl]"
biological_process,cognition,"""The operation of the mind by which an organism becomes aware of objects of thought or perception; it includes the mental activities associated with thinking, learning, and memory."" [http://www.onelook.com/, ISBN:0721619908]"
molecular_function,single-stranded RNA binding,"""Interacting selectively and non-covalently with single-stranded RNA."" [GOC:jl]"
biological_process,negative regulation of cell growth,"""Any process that stops, prevents, or reduces the frequency, rate, extent or direction of cell growth."" [GOC:go_curators]"
biological_process,corpus callosum morphogenesis,"""The process in which the anatomical structures of the corpus callosum are generated and organized. The corpus callosum is a thick bundle of nerve fibers comprising a commissural plate connecting the two cerebral hemispheres. It consists of contralateral axon projections that provides communications between the right and left cerebral hemispheres."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06, ISBN:0838580343]"
biological_process,"DNA damage response, detection of DNA damage","""The series of events required to receive a stimulus indicating DNA damage has occurred and convert it to a molecular signal."" [GOC:go_curators]"
biological_process,neural tube formation,"""The formation of a tube from the flat layer of ectodermal cells known as the neural plate. This will give rise to the central nervous system."" [GOC:dph, ISBN:0878932437]"
cellular_component,spindle midzone,"""The area in the center of the spindle where the spindle microtubules from opposite poles overlap."" [GOC:ai, PMID:15296749]"
biological_process,cellular response to trichostatin A,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a trichostatin A stimulus."" [CHEBI:46024, GOC:yaf, PMID:20181743]"
biological_process,neural fold formation,"""The process in which the neural fold is formed. The edges of the neural plate thicken and move up to form a U-shaped structure called the neural groove."" [GOC:dph, ISBN:0878932437]"
biological_process,protein demalonylation,"""The removal of a malonyl group (CO-CH2-CO), from an amino acid residue within a protein or peptide."" [GOC:sp, PMID:22076378]"
biological_process,fourth ventricle development,"""The process whose specific outcome is the progression of the fourth ventricle over time, from its formation to the mature structure. The fourth ventricle is an irregularly shaped cavity in the rhombencephalon, between the medulla oblongata, the pons, and the isthmus in front, and the cerebellum behind. It is continuous with the central canal of the cord below and with the cerebral aqueduct above, and through its lateral and median apertures it communicates with the subarachnoid space."" [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06, ISBN:0838580343]"
biological_process,spindle assembly,"""The aggregation, arrangement and bonding together of a set of components to form the spindle, the array of microtubules and associated molecules that serves to move duplicated chromosomes apart."" [GOC:ai, GOC:expert_rg, GOC:mtg_sensu, GOC:tb]"
molecular_function,RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding,"""Interacting selectively and non-covalently with an RNA polymerase II intronic DNA sequence that regulates the transcription of the transcript it is contained within."" [GOC:txnOH]"
cellular_component,STAGA complex,"""A large multiprotein complex that possesses histone acetyltransferase and is involved in regulation of transcription. The composition is similar to that of the SAGA complex; for example, the human complex contains the transcription-transformation cofactor TRRAP, hGCN5L acetylase, novel human ADA-like and SPT-like cofactors, and a subset of TAFs."" [PMID:11564863]"
molecular_function,"DNA-binding transcription factor activity, RNA polymerase II-specific","""A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units."" [GOC:txnOH-2018]"
biological_process,mRNA transport,"""The directed movement of mRNA, messenger ribonucleic acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]"
biological_process,hematopoietic or lymphoid organ development,"""The process whose specific outcome is the progression of any organ involved in hematopoiesis (also known as hemopoiesis) or lymphoid cell activation over time, from its formation to the mature structure. Such development includes differentiation of resident cell types (stromal cells) and of migratory cell types dependent on the unique microenvironment afforded by the organ for their proper differentiation."" [GOC:add, GOC:rl, ISBN:0781735149]"
